QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Team,Year
15429000.0,9847396.0,8456702.0,8146666.0,21230527.0,63110291.0,6489428.0,23632158.0,18067227.0,5187392.0,4940895.0,58317100.0,Panthers,2015
10238778.0,4040770.0,18726078.0,3962305.0,26041777.0,63009708.0,14160300.0,11753976.0,20598622.0,8119150.0,16808890.0,71440938.0,Bengals,2015
8194273.0,5564721.0,7847093.0,16447200.0,24810232.0,62863519.0,22356097.0,12025078.0,13628224.0,5375948.0,9416089.0,62801436.0,Jaguars,2015
25358586.0,5692821.0,9440930.0,3887942.0,18404737.0,62785016.0,4811895.0,5489433.0,10157172.0,11168099.0,9757823.0,41384422.0,Saints,2015
15240800.0,6883801.0,14975789.0,1889705.0,23070742.0,62060837.0,5124721.0,13672478.0,10989660.0,3336069.0,17527051.0,50649979.0,Giants,2015
20090908.0,2917044.0,13021509.0,3295825.0,21065314.0,60390600.0,10632552.0,35680871.0,1045193.0,10790891.0,13207797.0,71357304.0,Packers,2015
16944412.0,2913788.0,9824791.0,8910235.0,20756704.0,59349930.0,6445633.0,14548637.0,7764297.0,17048671.0,7299764.0,53107002.0,Ravens,2015
20358139.0,3265082.0,10701027.0,6131594.0,18800947.0,59256789.0,14557602.0,7727575.0,13207206.0,5560650.0,13377624.0,54430657.0,Steelers,2015
16983000.0,3636824.0,11395882.0,8455213.0,17609241.0,58080160.0,3212519.0,16676513.0,12864734.0,5252185.0,24161659.0,62167610.0,Cowboys,2015
17234471.0,4458248.0,13805614.0,2762661.0,19757909.0,58018903.0,6591793.0,11474979.0,10783706.0,8880119.0,6467970.0,44198567.0,49ers,2015
8093954.0,1964338.0,14792090.0,5193030.0,27241456.0,57284868.0,15138196.0,14097291.0,9223625.0,11656943.0,23514408.0,73630463.0,Browns,2015
21476940.0,9656539.0,6172669.0,2273413.0,16685651.0,56265212.0,11816841.0,13645289.0,8095994.0,14112700.0,11077574.0,58748398.0,Chiefs,2015
5218449.0,4573838.0,11865185.0,15475441.0,18702572.0,55835485.0,10316492.0,37018755.0,10685780.0,8220899.0,4293600.0,70535526.0,Rams,2015
1918064.0,3907750.0,12243561.0,4799545.0,31155998.0,54024918.0,10429225.0,13003817.0,12767283.0,14730695.0,4515992.0,55447012.0,Raiders,2015
5965886.0,5081515.0,18129732.0,4336557.0,20141348.0,53655038.0,23969929.0,5445509.0,12188387.0,4087338.0,8260432.0,53951595.0,Buccaneers,2015
8554868.0,10635847.0,9888081.0,10063162.0,12810650.0,51952608.0,9600635.0,18100443.0,12650324.0,13893024.0,15557555.0,69801981.0,Seahawks,2015
6357837.0,10875801.0,6411093.0,5702571.0,22553824.0,51901126.0,20580901.0,9018355.0,12609806.0,4828838.0,23059240.0,70097140.0,Texans,2015
10966900.0,5547765.0,13153178.0,4034629.0,14365795.0,48068267.0,14935562.0,24983566.0,10511983.0,5801282.0,21055447.0,77287840.0,Colts,2015
7625864.0,2623010.0,7039908.0,6819535.0,23159445.0,47267762.0,11620268.0,18738508.0,9272473.0,10861046.0,14670090.0,65162385.0,Dolphins,2015
3732738.0,7707163.0,12781663.0,5735146.0,15086305.0,45043015.0,16827353.0,27384012.0,7282129.0,5657363.0,16809630.0,73960487.0,Bills,2015
5017020.0,5286810.0,8113034.0,10447500.0,11157861.0,40022225.0,21122812.0,10312803.0,6083453.0,12937775.0,15939246.0,66396089.0,Titans,2015
23926148.0,9073966.0,19837501.0,9867494.0,21408752.0,84113861.0,4585559.0,10409388.0,15942586.0,8367517.0,20670361.0,59975411.0,Cowboys,2016
22237334.0,2428948.0,23519793.0,8387911.0,26070817.0,82644803.0,9823954.0,11615247.0,4179207.0,7736030.0,10733385.0,44087823.0,Commanders,2016
